GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
account-service,com.fintrack.account.exception,AccountNotFoundException,0,7,0,0,0,2,0,1,0,1
account-service,com.fintrack.account.exception,InsufficientFundsException,0,7,0,0,0,2,0,1,0,1
account-service,com.fintrack.account.exception,ApiException,0,10,0,0,0,4,0,1,0,1
account-service,com.fintrack.account.exception,AccountFrozenException,0,7,0,0,0,2,0,1,0,1
account-service,com.fintrack.account.exception,GlobalExceptionHandler,0,71,0,0,0,18,0,4,0,4
account-service,com.fintrack.account.controller,AccountController,25,5,0,0,4,1,4,1,4,1
account-service,com.fintrack.account.strategy.interest,InterestStrategyRegistry,0,68,0,4,0,15,0,7,0,5
account-service,com.fintrack.account.strategy.interest,TieredInterestStrategy.Tier,0,24,0,0,0,7,0,7,0,7
account-service,com.fintrack.account.strategy.interest,CompoundInterestStrategy,0,37,0,0,0,9,0,4,0,4
account-service,com.fintrack.account.strategy.interest,TieredInterestStrategy,0,65,0,4,0,12,0,9,0,7
account-service,com.fintrack.account.strategy.interest,FlatInterestStrategy,0,27,0,0,0,6,0,3,0,3
account-service,com.fintrack.account.mapper,AccountMapperImpl,0,71,0,4,0,19,0,5,0,3
account-service,com.fintrack.account.messaging,MessagingStrategyRegistry,0,52,0,2,0,12,0,5,0,4
account-service,com.fintrack.account.messaging,KafkaMessagingStrategy,19,0,0,0,5,0,3,0,3,0
account-service,com.fintrack.account.messaging,RabbitMqMessagingStrategy,29,0,0,0,9,0,4,0,4,0
account-service,com.fintrack.account.saga,TransactionInitiatedConsumer,0,129,0,0,0,32,0,3,0,3
account-service,com.fintrack.account.saga,UserRegisteredConsumer,20,0,0,0,4,0,2,0,2,0
account-service,com.fintrack.account.saga,TransactionFailedConsumer,0,45,0,2,0,8,0,3,0,2
account-service,com.fintrack.account.security,JwtTokenProvider,0,57,0,4,0,11,0,7,0,5
account-service,com.fintrack.account.security,JwtAuthFilter,72,0,10,0,14,0,9,0,4,0
account-service,com.fintrack.account.service,AccountService,10,485,0,30,0,96,2,31,2,16
