GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
notification-service,com.fintrack.notification.saga,TransactionCompletedConsumer,0,57,0,0,0,16,0,2,0,2
notification-service,com.fintrack.notification.saga,AccountCreatedConsumer,0,47,0,0,0,13,0,2,0,2
notification-service,com.fintrack.notification.saga,NotificationRequestedConsumer,0,63,0,0,0,13,0,2,0,2
notification-service,com.fintrack.notification.saga,TransactionFailedConsumer,0,58,0,0,0,16,0,2,0,2
notification-service,com.fintrack.notification.saga,UserRegisteredConsumer,0,39,0,0,0,10,0,2,0,2
notification-service,com.fintrack.notification.messaging,KafkaMessagingStrategy,19,0,0,0,5,0,3,0,3,0
notification-service,com.fintrack.notification.messaging,RabbitMqMessagingStrategy,29,0,0,0,9,0,4,0,4,0
notification-service,com.fintrack.notification.messaging,MessagingStrategyRegistry,0,52,0,2,0,12,0,5,0,4
notification-service,com.fintrack.notification.exception,GlobalExceptionHandler,0,71,0,0,0,18,0,4,0,4
notification-service,com.fintrack.notification.exception,ApiException,0,10,0,0,0,4,0,1,0,1
notification-service,com.fintrack.notification.exception,NotificationNotFoundException,0,7,0,0,0,2,0,1,0,1
notification-service,com.fintrack.notification.strategy.channel,EmailNotificationStrategy,0,72,0,4,0,13,0,5,0,3
notification-service,com.fintrack.notification.strategy.channel,NotificationStrategyContext,35,62,5,7,5,12,4,6,1,3
notification-service,com.fintrack.notification.strategy.channel,PushNotificationStrategy,0,70,0,6,0,11,0,8,0,5
notification-service,com.fintrack.notification.strategy.channel,SMSNotificationStrategy,9,75,1,1,2,13,1,5,0,5
notification-service,com.fintrack.notification.controller,NotificationController,59,5,0,0,15,1,5,1,5,1
notification-service,com.fintrack.notification.service,NotificationService,8,298,3,16,0,59,3,23,0,16
notification-service,com.fintrack.notification.mapper,NotificationMapperImpl,0,72,0,2,0,17,0,3,0,2
notification-service,com.fintrack.notification.security,JwtAuthFilter,49,0,2,0,9,0,4,0,3,0
notification-service,com.fintrack.notification.security,JwtTokenProvider,0,57,0,4,0,11,0,7,0,5
