GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
transaction-service,com.fintrack.transaction.controller,TransactionController,0,28,0,0,0,5,0,4,0,4
transaction-service,com.fintrack.transaction.saga,TransactionCompletedConsumer,33,0,0,0,5,0,3,0,3,0
transaction-service,com.fintrack.transaction.saga,TransactionInitiatedConsumer,25,0,0,0,4,0,2,0,2,0
transaction-service,com.fintrack.transaction.saga,AccountDebitedConsumer,47,0,0,0,10,0,2,0,2,0
transaction-service,com.fintrack.transaction.saga,TransactionFailedConsumer,49,0,2,0,9,0,3,0,2,0
transaction-service,com.fintrack.transaction.strategy.fee,BillPaymentFeeStrategy,0,14,0,0,0,6,0,4,0,4
transaction-service,com.fintrack.transaction.strategy.fee,ZeroFeeStrategy,0,10,0,0,0,4,0,4,0,4
transaction-service,com.fintrack.transaction.strategy.fee,FeeStrategyRegistry,7,131,2,14,0,25,2,12,0,6
transaction-service,com.fintrack.transaction.strategy.fee,DomesticFeeStrategy,0,28,0,0,0,8,0,4,0,4
transaction-service,com.fintrack.transaction.strategy.fee,ATMWithdrawalFeeStrategy,0,26,0,2,0,7,0,5,0,4
transaction-service,com.fintrack.transaction.strategy.fee,InternationalFeeStrategy,0,28,0,0,0,8,0,4,0,4
transaction-service,com.fintrack.transaction.security,JwtAuthFilter,49,0,2,0,9,0,4,0,3,0
transaction-service,com.fintrack.transaction.security,JwtTokenProvider,0,57,0,4,0,11,0,7,0,5
transaction-service,com.fintrack.transaction.risk,RiskLevel,0,51,0,2,0,10,0,5,0,4
transaction-service,com.fintrack.transaction.risk,RiskRuleRegistry,0,241,6,40,0,43,6,30,0,13
transaction-service,com.fintrack.transaction.risk,RiskScore,0,101,0,14,0,28,0,13,0,6
transaction-service,com.fintrack.transaction.risk,RiskEngine,12,126,0,4,5,24,1,7,1,5
transaction-service,com.fintrack.transaction.mapper,TransactionMapperImpl,72,0,2,0,17,0,3,0,2,0
transaction-service,com.fintrack.transaction.service,TransactionService,8,596,4,22,0,152,5,25,1,16
transaction-service,com.fintrack.transaction.service,FeeService,2,87,2,2,0,21,2,4,0,4
transaction-service,com.fintrack.transaction.exception,TransactionNotFoundException,0,7,0,0,0,2,0,1,0,1
transaction-service,com.fintrack.transaction.exception,InvalidTransactionException,0,6,0,0,0,2,0,1,0,1
transaction-service,com.fintrack.transaction.exception,ApiException,0,10,0,0,0,4,0,1,0,1
transaction-service,com.fintrack.transaction.exception,GlobalExceptionHandler,0,71,0,0,0,18,0,4,0,4
transaction-service,com.fintrack.transaction.messaging,MessagingStrategyRegistry,0,52,0,2,0,12,0,5,0,4
transaction-service,com.fintrack.transaction.messaging,KafkaMessagingStrategy,19,0,0,0,5,0,3,0,3,0
transaction-service,com.fintrack.transaction.messaging,RabbitMqMessagingStrategy,29,0,0,0,9,0,4,0,4,0
