GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
user-service,com.fintrack.user.security,JwtAuthFilter,64,0,2,0,12,0,5,0,4,0
user-service,com.fintrack.user.security,JwtTokenProvider,0,121,0,4,0,31,0,10,0,8
user-service,com.fintrack.user.security,JwtTokenProvider.IssuedToken,0,9,0,0,0,1,0,1,0,1
user-service,com.fintrack.user.mapper,UserMapperImpl,4,84,2,2,2,20,2,3,0,3
user-service,com.fintrack.user.mapper,UserMapper,0,12,0,2,0,2,0,2,0,1
user-service,com.fintrack.user.service,AuthService,0,184,0,8,0,41,0,10,0,6
user-service,com.fintrack.user.service,UserService,0,99,0,4,0,13,0,10,0,8
user-service,com.fintrack.user.controller,AuthController,0,10,0,0,0,2,0,2,0,2
user-service,com.fintrack.user.controller,UserController,0,23,0,0,0,5,0,4,0,4
user-service,com.fintrack.user.exception,GlobalExceptionHandler,0,108,0,0,0,29,0,6,0,6
user-service,com.fintrack.user.exception,InvalidCredentialsException,0,6,0,0,0,2,0,1,0,1
user-service,com.fintrack.user.exception,UsernameAlreadyExistsException,0,7,0,0,0,2,0,1,0,1
user-service,com.fintrack.user.exception,EmailAlreadyExistsException,0,7,0,0,0,2,0,1,0,1
user-service,com.fintrack.user.exception,ApiException,0,10,0,0,0,4,0,1,0,1
user-service,com.fintrack.user.exception,UserNotFoundException,0,7,0,0,0,2,0,1,0,1
user-service,com.fintrack.user.messaging,KafkaMessagingStrategy,31,0,0,0,5,0,3,0,3,0
user-service,com.fintrack.user.messaging,RabbitMqMessagingStrategy,41,0,0,0,9,0,4,0,4,0
user-service,com.fintrack.user.messaging,MessagingStrategyRegistry,0,58,0,2,0,13,0,6,0,5
